--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
126.438  000.006  000.006: sourcing nvim_exec2() called at /home/christopher/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
126.440  002.055  000.310: sourcing /home/christopher/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
126.442  002.070  000.015: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
126.446  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
126.454  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
128.014  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
128.020  000.000  000.000: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
129.409  000.227  000.227: require('vim.lsp.log')
129.859  000.447  000.447: require('vim.lsp.protocol')
130.136  000.274  000.274: require('vim.lsp.util')
130.296  000.066  000.066: require('vim.lsp.sync')
130.300  000.162  000.096: require('vim.lsp._changetracking')
130.602  000.062  000.062: require('vim.lsp._transport')
130.613  000.311  000.249: require('vim.lsp.rpc')
130.652  001.768  000.347: require('vim.lsp')
132.185  001.532  001.532: require('lspconfig.util')
132.819  000.627  000.627: require('vim.version')
133.706  005.043  001.115: sourcing /home/christopher/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
133.710  005.061  000.018: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
133.717  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
133.728  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
134.353  000.230  000.230: sourcing /home/christopher/.local/share/nvim/lazy/prettier.nvim/plugin/prettier.vim
134.355  000.246  000.016: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
134.359  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
134.366  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
135.348  000.004  000.004: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
135.357  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
140.554  000.275  000.275: sourcing /home/christopher/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/plugs.vim
140.836  000.156  000.156: sourcing /home/christopher/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps.vim
141.156  000.102  000.102: sourcing /home/christopher/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps/all.vim
141.628  004.943  004.411: sourcing /home/christopher/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
141.630  004.960  000.017: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
141.637  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
141.650  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
141.898  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
141.904  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
142.184  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
142.189  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
144.264  000.007  000.007: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
144.278  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
144.935  000.329  000.329: sourcing /usr/share/nvim/runtime/plugin/editorconfig.lua
144.942  000.363  000.035: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
145.480  000.473  000.473: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
145.679  000.699  000.226: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
146.171  000.416  000.416: sourcing /usr/share/nvim/runtime/plugin/man.lua
146.181  000.469  000.054: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
147.643  000.393  000.393: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
147.664  001.430  001.038: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
147.667  001.471  000.041: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
148.059  000.361  000.361: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
148.064  000.386  000.025: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
148.168  000.069  000.069: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
148.173  000.102  000.033: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
